id,gene,description
cg12019773,ZFP30,ZFP30 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:29555]
cg12586386,AQP11,aquaporin 11 [Source:HGNC Symbol;Acc:HGNC:19940]
cg12600550,ARAP2,ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]
cg12883826,CAMK2D,calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]
cg13505631,NEK6,NIMA related kinase 6 [Source:HGNC Symbol;Acc:HGNC:7749]
cg13682722,C14orf102,NA
cg13934277,KIAA0146,NA
cg14083890,PPIL2,peptidylprolyl isomerase like 2 [Source:HGNC Symbol;Acc:HGNC:9261]
cg14237749,SLC2A6,solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]
cg14511586,LYPLA2,lysophospholipase II [Source:HGNC Symbol;Acc:HGNC:6738]
cg14515811,FAM125B,NA
cg15091337,POLE4,DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]
cg15444978,MARK3,microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]
cg15538669,HSPA9,heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]
cg15823100,PISD,phosphatidylserine decarboxylase [Source:HGNC Symbol;Acc:HGNC:8999]
cg15991975,NDUFV3,NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]
cg16284739,SUGT1,SGT1 homolog, MIS12 kinetochore complex assembly cochaperone [Source:HGNC Symbol;Acc:HGNC:16987]
cg16312647,PPIB,peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]
cg16400486,FOXN3,forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]
cg16734947,FAM91A1,family with sequence similarity 91 member A1 [Source:HGNC Symbol;Acc:HGNC:26306]
cg16936060,HOPX,HOP homeobox [Source:HGNC Symbol;Acc:HGNC:24961]
cg17020154,TCEB3,NA
cg17100207,XPO7,exportin 7 [Source:HGNC Symbol;Acc:HGNC:14108]
cg18087520,CALM1,calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]
cg18226166,RTN2,reticulon 2 [Source:HGNC Symbol;Acc:HGNC:10468]
cg18568145,FAM189B,family with sequence similarity 189 member B [Source:HGNC Symbol;Acc:HGNC:1233]
cg19197523,WDYHV1,WDYHV motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25490]
cg19303748,TSPAN4,tetraspanin 4 [Source:HGNC Symbol;Acc:HGNC:11859]
cg19565594,PRELID2,PRELI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28306]
cg19846193,TGFBR3,transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
cg20001087,NUAK2,NUAK family kinase 2 [Source:HGNC Symbol;Acc:HGNC:29558]
cg20807852,ANKRD40,ankyrin repeat domain 40 [Source:HGNC Symbol;Acc:HGNC:28233]
cg21803245,KIAA0284,NA
cg21988067,SETD7,SET domain containing lysine methyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:30412]
cg22231056,AIM1,NA
cg22319885,CNOT4,CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]
cg22448433,UCHL3,ubiquitin C-terminal hydrolase L3 [Source:HGNC Symbol;Acc:HGNC:12515]
cg23053825,NBEAL1,neurobeachin like 1 [Source:HGNC Symbol;Acc:HGNC:20681]
cg23155118,RP9P,RP9 pseudogene [Source:HGNC Symbol;Acc:HGNC:33969]
cg23324086,BCL11B,B cell CLL/lymphoma 11B [Source:HGNC Symbol;Acc:HGNC:13222]
cg23351853,ATP11B,ATPase phospholipid transporting 11B (putative) [Source:HGNC Symbol;Acc:HGNC:13553]
cg25800166,OAS3,2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]
cg25877086,KPNB1,karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6400]
cg25884424,CKAP2L,cytoskeleton associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:26877]
cg26239233,CIITA,class II major histocompatibility complex transactivator [Source:HGNC Symbol;Acc:HGNC:7067]
cg26834418,CHORDC1,cysteine and histidine rich domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14525]
cg27541691,TUBG2,tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]
