gene	description	Freq
CHST12	carbohydrate sulfotransferase 12 [Source:HGNC Symbol;Acc:HGNC:17423]	1
COQ6	coenzyme Q6, monooxygenase [Source:HGNC Symbol;Acc:HGNC:20233]	1
COTL1	coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]	1
CXCR6	C-X-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:16647]	1
FAAH	fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]	1
C13orf29	NA	1
GOLGA7B	golgin A7 family member B [Source:HGNC Symbol;Acc:HGNC:31668]	1
ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	1
LIPA	lipase A, lysosomal acid type [Source:HGNC Symbol;Acc:HGNC:6617]	1
LOC400027	NA	1
ZNF707	zinc finger protein 707 [Source:HGNC Symbol;Acc:HGNC:27815]	1
ARTN	artemin [Source:HGNC Symbol;Acc:HGNC:727]	1
C16orf48	NA	1
C20orf117	NA	1
CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	1
CYTH4	cytohesin 4 [Source:HGNC Symbol;Acc:HGNC:9505]	1
HCG11	HLA complex group 11 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:17707]	1
IL16	interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]	1
LIMK1	LIM domain kinase 1 [Source:HGNC Symbol;Acc:HGNC:6613]	1
PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein [Source:HGNC Symbol;Acc:HGNC:16865]	1
RNF149	ring finger protein 149 [Source:HGNC Symbol;Acc:HGNC:23137]	1
TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	1
VGLL4	vestigial like family member 4 [Source:HGNC Symbol;Acc:HGNC:28966]	1
C2orf18	NA	1
DERL3	derlin 3 [Source:HGNC Symbol;Acc:HGNC:14236]	1
DNMT3A	DNA methyltransferase 3 alpha [Source:HGNC Symbol;Acc:HGNC:2978]	1
FAM127C	NA	1
FKBP1B	FK506 binding protein 1B [Source:HGNC Symbol;Acc:HGNC:3712]	1
PBX1	PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632]	1
XPO6	exportin 6 [Source:HGNC Symbol;Acc:HGNC:19733]	1
CCDC69	coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]	1
GALK2	galactokinase 2 [Source:HGNC Symbol;Acc:HGNC:4119]	1
GPRIN1	G protein regulated inducer of neurite outgrowth 1 [Source:HGNC Symbol;Acc:HGNC:24835]	1
H19	H19, imprinted maternally expressed transcript (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:4713]	1
MRPL30	mitochondrial ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:14036]	1
PHYHD1	phytanoyl-CoA dioxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23396]	1
PML	promyelocytic leukemia [Source:HGNC Symbol;Acc:HGNC:9113]	1
BOLA1	bolA family member 1 [Source:HGNC Symbol;Acc:HGNC:24263]	1
C9orf93	NA	1
CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	1
ISCA2	iron-sulfur cluster assembly 2 [Source:HGNC Symbol;Acc:HGNC:19857]	1
PLEKHG6	pleckstrin homology and RhoGEF domain containing G6 [Source:HGNC Symbol;Acc:HGNC:25562]	1
SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:HGNC Symbol;Acc:HGNC:11097]	1
ZNF649	zinc finger protein 649 [Source:HGNC Symbol;Acc:HGNC:25741]	1
APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F [Source:HGNC Symbol;Acc:HGNC:17356]	1
CAMTA1	calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]	1
INTS8	integrator complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:26048]	1
KIAA1908	NA	1
MFSD7	NA	1
PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	1
RAB7L1	NA	1
SERPINI1	serpin family I member 1 [Source:HGNC Symbol;Acc:HGNC:8943]	1
SGSH	N-sulfoglucosamine sulfohydrolase [Source:HGNC Symbol;Acc:HGNC:10818]	1
TH1L	NA	1
ZNF438	zinc finger protein 438 [Source:HGNC Symbol;Acc:HGNC:21029]	1
ATG2A	autophagy related 2A [Source:HGNC Symbol;Acc:HGNC:29028]	1
EHD4	EH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:3245]	1
HYAL1	hyaluronoglucosaminidase 1 [Source:HGNC Symbol;Acc:HGNC:5320]	1
KRT7	keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]	1
MAMSTR	MEF2 activating motif and SAP domain containing transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:26689]	1
RBM38	RNA binding motif protein 38 [Source:HGNC Symbol;Acc:HGNC:15818]	1
SNX16	sorting nexin 16 [Source:HGNC Symbol;Acc:HGNC:14980]	1
ZNF467	zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]	1
ZNF614	zinc finger protein 614 [Source:HGNC Symbol;Acc:HGNC:24722]	1
ZNF675	zinc finger protein 675 [Source:HGNC Symbol;Acc:HGNC:30768]	1
ACTR3B	ARP3 actin related protein 3 homolog B [Source:HGNC Symbol;Acc:HGNC:17256]	1
CD3E	CD3e molecule [Source:HGNC Symbol;Acc:HGNC:1674]	1
GPSM3	G protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:13945]	1
LY75	lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]	1
LYSMD1	LysM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32070]	1
NCL	nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]	1
SLC25A20	solute carrier family 25 member 20 [Source:HGNC Symbol;Acc:HGNC:1421]	1
IQCE	IQ motif containing E [Source:HGNC Symbol;Acc:HGNC:29171]	1
SPAG4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]	1
SRF	serum response factor [Source:HGNC Symbol;Acc:HGNC:11291]	1
TNNT1	troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]	1
TTLL12	tubulin tyrosine ligase like 12 [Source:HGNC Symbol;Acc:HGNC:28974]	1
C1D	C1D nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:29911]	1
C5orf33	NA	1
GPR65	G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]	1
ZNF839	zinc finger protein 839 [Source:HGNC Symbol;Acc:HGNC:20345]	1
H3F3A	H3 histone family member 3A [Source:HGNC Symbol;Acc:HGNC:4764]	1
RNF5P1	ring finger protein 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31053]	1
TBKBP1	TBK1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:30140]	1
UBE2E3	ubiquitin conjugating enzyme E2 E3 [Source:HGNC Symbol;Acc:HGNC:12479]	1
ZNHIT6	zinc finger HIT-type containing 6 [Source:HGNC Symbol;Acc:HGNC:26089]	1
CCDC74A	coiled-coil domain containing 74A [Source:HGNC Symbol;Acc:HGNC:25197]	1
CTU1	cytosolic thiouridylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:29590]	1
LTB	lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]	1
CYB5R2	cytochrome b5 reductase 2 [Source:HGNC Symbol;Acc:HGNC:24376]	1
SLAMF6	SLAM family member 6 [Source:HGNC Symbol;Acc:HGNC:21392]	1
SMC5	structural maintenance of chromosomes 5 [Source:HGNC Symbol;Acc:HGNC:20465]	1
SERPINB4	serpin family B member 4 [Source:HGNC Symbol;Acc:HGNC:10570]	1
