id,gene,description
cg06311804,DDX47,DEAD-box helicase 47 [Source:HGNC Symbol;Acc:HGNC:18682]
cg06440065,C19orf12,chromosome 19 open reading frame 12 [Source:HGNC Symbol;Acc:HGNC:25443]
cg06797533,PLIN2,perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]
cg06886867,HNRNPR,heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]
cg06913869,RFX2,regulatory factor X2 [Source:HGNC Symbol;Acc:HGNC:9983]
cg07116194,BAIAP3,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]
cg07749845,ESAM,endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:17474]
cg08101172,PSIP1,PC4 and SFRS1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9527]
cg08742424,KLHDC5,NA
cg09004581,MTO1,mitochondrial tRNA translation optimization 1 [Source:HGNC Symbol;Acc:HGNC:19261]
cg09323728,TP53INP1,tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022]
cg09898695,SPINT1,serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]
cg10906530,LOC645332,NA
cg10990081,TRNT1,tRNA nucleotidyl transferase 1 [Source:HGNC Symbol;Acc:HGNC:17341]
cg11152302,NYNRIN,NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165]
cg11178321,DDX12,NA
cg11715966,CCDC8,coiled-coil domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25367]
cg12136126,CCDC15,coiled-coil domain containing 15 [Source:HGNC Symbol;Acc:HGNC:25798]
cg13521538,ALDH1B1,aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]
cg13792581,TOMM34,translocase of outer mitochondrial membrane 34 [Source:HGNC Symbol;Acc:HGNC:15746]
cg13908523,PRKCD,protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]
cg14274609,ATE1,arginyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:782]
cg14676711,ME2,malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]
cg15573879,STK40,serine/threonine kinase 40 [Source:HGNC Symbol;Acc:HGNC:21373]
cg16357287,SEH1L,SEH1 like nucleoporin [Source:HGNC Symbol;Acc:HGNC:30379]
cg16520737,C19orf6,NA
cg17849709,MKNK2,MAP kinase interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]
cg20161772,TADA1,transcriptional adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30631]
cg24988444,COQ10B,coenzyme Q10B [Source:HGNC Symbol;Acc:HGNC:25819]
cg25353308,ZNF697,zinc finger protein 697 [Source:HGNC Symbol;Acc:HGNC:32034]
