id,gene,description
cg04258457,ERN1,endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]
cg04306507,LGALS3,galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]
cg04375472,ZNF84,zinc finger protein 84 [Source:HGNC Symbol;Acc:HGNC:13159]
cg04455646,IRAK2,interleukin 1 receptor associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]
cg04521957,SKAP2,src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]
cg04558386,CCDC90A,NA
cg04564737,ZC3H14,zinc finger CCCH-type containing 14 [Source:HGNC Symbol;Acc:HGNC:20509]
cg04687486,FUT10,fucosyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19234]
cg04745100,TP53I11,tumor protein p53 inducible protein 11 [Source:HGNC Symbol;Acc:HGNC:16842]
cg04803798,SLC39A4,solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]
cg04846203,MPZL1,myelin protein zero like 1 [Source:HGNC Symbol;Acc:HGNC:7226]
cg05047710,RNASEK,ribonuclease K [Source:HGNC Symbol;Acc:HGNC:33911]
cg05081497,RASSF2,Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]
cg05315865,ZDHHC2,zinc finger DHHC-type containing 2 [Source:HGNC Symbol;Acc:HGNC:18469]
cg05352767,UFSP2,UFM1 specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:25640]
cg05493526,LRRC20,leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:HGNC:23421]
cg05539369,FNIP2,folliculin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29280]
cg05983218,AGPAT6,NA
cg06060338,TCEB1,NA
cg06080267,MAN1C1,mannosidase alpha class 1C member 1 [Source:HGNC Symbol;Acc:HGNC:19080]
cg06284244,YES1,YES proto-oncogene 1, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12841]
cg06292277,CLCN3,chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]
cg06332859,CXCR4,C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]
cg06350161,ELOVL1,ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]
cg06390653,KIF16B,kinesin family member 16B [Source:HGNC Symbol;Acc:HGNC:15869]
cg06397398,ZNF331,zinc finger protein 331 [Source:HGNC Symbol;Acc:HGNC:15489]
cg06672250,EPB49,NA
cg06778853,PHF13,PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983]
cg06816054,PBK,PDZ binding kinase [Source:HGNC Symbol;Acc:HGNC:18282]
cg06928983,EMB,embigin [Source:HGNC Symbol;Acc:HGNC:30465]
cg06935264,ALOX5,arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]
cg06987504,EIF3E,eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]
cg07017242,IMPDH1,inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]
cg07151406,PGAM1,phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]
cg07523098,ARHGAP12,Rho GTPase activating protein 12 [Source:HGNC Symbol;Acc:HGNC:16348]
cg07557424,C9orf23,NA
cg07596299,C11orf51,NA
cg07611000,EHBP1L1,EH domain binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:30682]
cg07647825,SLC46A3,solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501]
cg08069370,SNX1,sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172]
cg08268254,DCAF5,DDB1 and CUL4 associated factor 5 [Source:HGNC Symbol;Acc:HGNC:20224]
cg08599266,ADCY3,adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]
cg08705285,ADAMTS14,ADAM metallopeptidase with thrombospondin type 1 motif 14 [Source:HGNC Symbol;Acc:HGNC:14899]
cg08719486,DAPK1,death associated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:2674]
cg08750028,RNF41,ring finger protein 41 [Source:HGNC Symbol;Acc:HGNC:18401]
cg08890828,C5orf30,chromosome 5 open reading frame 30 [Source:HGNC Symbol;Acc:HGNC:25052]
cg08970050,CCNG1,cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]
cg09086761,MTA2,metastasis associated 1 family member 2 [Source:HGNC Symbol;Acc:HGNC:7411]
cg09130963,DHCR24,24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]
cg09154639,RAE1,ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828]
cg09276883,HHAT,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
cg09292875,LRP10,LDL receptor related protein 10 [Source:HGNC Symbol;Acc:HGNC:14553]
cg09462826,FADS1,fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]
cg09487245,PTPN18,protein tyrosine phosphatase, non-receptor type 18 [Source:HGNC Symbol;Acc:HGNC:9649]
cg09631475,SAMD4A,sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023]
cg09820729,MFN2,mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]
cg10069121,S100A11,S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]
cg10168763,ADCY9,adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]
cg10221365,JMJD5,NA
cg10284440,MLKL,mixed lineage kinase domain like pseudokinase [Source:HGNC Symbol;Acc:HGNC:26617]
cg10287137,P2RY2,purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]
cg10482632,CSRP1,cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]
cg10533331,RASGRP1,RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]
cg10952477,ARHGEF12,Rho guanine nucleotide exchange factor 12 [Source:HGNC Symbol;Acc:HGNC:14193]
cg11007423,SPPL2A,signal peptide peptidase like 2A [Source:HGNC Symbol;Acc:HGNC:30227]
cg11318576,CDC42SE2,CDC42 small effector 2 [Source:HGNC Symbol;Acc:HGNC:18547]
cg11320084,RNF2,ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:10061]
cg11636228,ZNF442,zinc finger protein 442 [Source:HGNC Symbol;Acc:HGNC:20877]
cg11639001,CEP164,centrosomal protein 164 [Source:HGNC Symbol;Acc:HGNC:29182]
cg11823592,ANKLE1,ankyrin repeat and LEM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26812]
cg11960001,CHMP2A,charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]
cg12095167,RAB2A,RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]
cg12101479,SLC2A1,solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]
cg12132617,ADIPOR1,adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]
cg12478978,FLOT1,flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]
cg12856612,SREBF2,sterol regulatory element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11290]
cg12965202,GTF2A1,general transcription factor IIA subunit 1 [Source:HGNC Symbol;Acc:HGNC:4646]
cg13108328,PLEKHA5,pleckstrin homology domain containing A5 [Source:HGNC Symbol;Acc:HGNC:30036]
cg13132404,FHL3,four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]
cg13470367,MTF1,metal regulatory transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7428]
cg13621212,MLLT3,MLLT3, super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7136]
cg13663912,RAD23B,RAD23 homolog B, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9813]
cg13770399,PTP4A1,protein tyrosine phosphatase type IVA, member 1 [Source:HGNC Symbol;Acc:HGNC:9634]
cg13782932,DDX6,DEAD-box helicase 6 [Source:HGNC Symbol;Acc:HGNC:2747]
cg13891189,ALAD,aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]
cg13975098,RGS10,regulator of G protein signaling 10 [Source:HGNC Symbol;Acc:HGNC:9992]
cg14009312,STK11,serine/threonine kinase 11 [Source:HGNC Symbol;Acc:HGNC:11389]
cg14164252,ARSA,arylsulfatase A [Source:HGNC Symbol;Acc:HGNC:713]
cg14225926,PLRG1,pleiotropic regulator 1 [Source:HGNC Symbol;Acc:HGNC:9089]
cg14242680,GBF1,golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4181]
cg14260485,AKT2,AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]
cg14261863,ELMO2,engulfment and cell motility 2 [Source:HGNC Symbol;Acc:HGNC:17233]
cg14296123,THOP1,thimet oligopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:11793]
cg14303330,RPL22,ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]
cg14325649,RBMS1,RNA binding motif single stranded interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9907]
cg14446942,ITGB1,integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]
cg14655532,KIAA0495,NA
cg14667033,TMEM2,transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:11869]
cg14959506,CLCN7,chloride voltage-gated channel 7 [Source:HGNC Symbol;Acc:HGNC:2025]
cg15083158,KIAA0664,NA
cg15635341,NAA38,N(alpha)-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]
cg15667844,DUSP5,dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]
cg15700776,CYP2U1,cytochrome P450 family 2 subfamily U member 1 [Source:HGNC Symbol;Acc:HGNC:20582]
cg16133845,LMBR1,limb development membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13243]
cg16182691,GNAI1,G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]
cg16224163,LPP,LIM domain containing preferred translocation partner in lipoma [Source:HGNC Symbol;Acc:HGNC:6679]
cg16472060,ANXA2,annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]
cg16480145,RUSC2,RUN and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23625]
cg16599045,BLCAP,bladder cancer associated protein [Source:HGNC Symbol;Acc:HGNC:1055]
cg17085457,ZNF697,zinc finger protein 697 [Source:HGNC Symbol;Acc:HGNC:32034]
cg17498102,TTC9,tetratricopeptide repeat domain 9 [Source:HGNC Symbol;Acc:HGNC:20267]
cg17891123,IQGAP1,IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]
cg17935813,RAB20,RAB20, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18260]
cg18040225,CCNJ,cyclin J [Source:HGNC Symbol;Acc:HGNC:23434]
cg18080903,RNF130,ring finger protein 130 [Source:HGNC Symbol;Acc:HGNC:18280]
cg18250832,NMUR1,neuromedin U receptor 1 [Source:HGNC Symbol;Acc:HGNC:4518]
cg19353425,ANXA4,annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]
cg19948037,DCAF4,DDB1 and CUL4 associated factor 4 [Source:HGNC Symbol;Acc:HGNC:20229]
cg20026346,MAP7,microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]
cg20468883,BNIP2,BCL2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:1083]
cg20552688,C14orf80,NA
cg20633321,LMO4,LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]
cg20948486,PEAR1,platelet endothelial aggregation receptor 1 [Source:HGNC Symbol;Acc:HGNC:33631]
cg20986134,LMNB1,lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]
cg21468035,ABHD1,abhydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17553]
cg21837069,VWA1,von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]
cg21867891,ZNF532,zinc finger protein 532 [Source:HGNC Symbol;Acc:HGNC:30940]
cg22344162,CREG1,cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol;Acc:HGNC:2351]
cg22566058,NCOA4,nuclear receptor coactivator 4 [Source:HGNC Symbol;Acc:HGNC:7671]
cg22656964,RHEB,Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]
cg22747501,CHN2,chimerin 2 [Source:HGNC Symbol;Acc:HGNC:1944]
cg23053825,NBEAL1,neurobeachin like 1 [Source:HGNC Symbol;Acc:HGNC:20681]
cg23083824,PHF14,PHD finger protein 14 [Source:HGNC Symbol;Acc:HGNC:22203]
cg23189951,SDHAP3,succinate dehydrogenase complex flavoprotein subunit A pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:18781]
cg23283335,ABR,active BCR-related [Source:HGNC Symbol;Acc:HGNC:81]
cg23576358,LOC93622,NA
cg23720379,PGAP1,post-GPI attachment to proteins 1 [Source:HGNC Symbol;Acc:HGNC:25712]
cg23819145,ITSN2,intersectin 2 [Source:HGNC Symbol;Acc:HGNC:6184]
cg23825830,ACAA2,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
cg24127861,REC8,REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]
cg24250393,PRKCB,protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]
cg24523758,UBE2E3,ubiquitin conjugating enzyme E2 E3 [Source:HGNC Symbol;Acc:HGNC:12479]
cg25167574,PAQR3,progestin and adipoQ receptor family member 3 [Source:HGNC Symbol;Acc:HGNC:30130]
cg25234170,FAM18B2,NA
cg25589720,PCYOX1L,prenylcysteine oxidase 1 like [Source:HGNC Symbol;Acc:HGNC:28477]
cg25623035,RFWD2,NA
cg25800166,OAS3,2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]
cg26007540,TOP2A,DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]
cg26272983,TMCO1,transmembrane and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:18188]
cg26285502,C15orf41,chromosome 15 open reading frame 41 [Source:HGNC Symbol;Acc:HGNC:26929]
cg26357453,DHRS7B,dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]
cg26741262,MTHFS,methenyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:HGNC:7437]
cg27092191,ZNF267,zinc finger protein 267 [Source:HGNC Symbol;Acc:HGNC:13060]
