id,gene,description
cg14865868,TRIB2,tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]
cg14941149,YIF1B,Yip1 interacting factor homolog B, membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:30511]
cg15417498,NFIL3,nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]
cg15444566,USP3,ubiquitin specific peptidase 3 [Source:HGNC Symbol;Acc:HGNC:12626]
cg15692687,ELP3,elongator acetyltransferase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20696]
cg16251576,LOC338758,NA
cg16262623,UBTF,upstream binding transcription factor, RNA polymerase I [Source:HGNC Symbol;Acc:HGNC:12511]
cg16378421,ABCC5,ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]
cg16785077,MX1,MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]
cg17220933,RASSF5,Ras association domain family member 5 [Source:HGNC Symbol;Acc:HGNC:17609]
cg17365962,ABCF1,ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]
cg17711870,WWP1,WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:17004]
cg18186672,DYSF,dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]
cg19434221,ABHD12,abhydrolase domain containing 12 [Source:HGNC Symbol;Acc:HGNC:15868]
cg20220242,RWDD2B,RWD domain containing 2B [Source:HGNC Symbol;Acc:HGNC:1302]
cg20530204,B3GALT4,beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]
cg20724184,EFHA1,NA
cg21500300,BCAT1,branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]
cg22822383,ZNF446,zinc finger protein 446 [Source:HGNC Symbol;Acc:HGNC:21036]
cg23153680,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]
cg23548201,TNK2,tyrosine kinase non receptor 2 [Source:HGNC Symbol;Acc:HGNC:19297]
cg24848599,TRIM17,tripartite motif containing 17 [Source:HGNC Symbol;Acc:HGNC:13430]
cg25226572,ADO,2-aminoethanethiol dioxygenase [Source:HGNC Symbol;Acc:HGNC:23506]
cg25367758,HCN2,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2 [Source:HGNC Symbol;Acc:HGNC:4846]
cg26916373,BIK,BCL2 interacting killer [Source:HGNC Symbol;Acc:HGNC:1051]
cg27111970,PURA,purine rich element binding protein A [Source:HGNC Symbol;Acc:HGNC:9701]
